,value,metric,type
0,0.003551395892978956,fde,best_of
1,0.021048928665500448,fde,best_of
2,0.014958249830996554,fde,best_of
3,0.00309651019858364,fde,best_of
4,0.019982148420873928,fde,best_of
5,0.004764483256382657,fde,best_of
6,0.0025666554529998028,fde,best_of
7,0.012227956187510809,fde,best_of
8,0.1341506638118799,fde,best_of
9,0.0020873572720476047,fde,best_of
10,0.01108041649460169,fde,best_of
11,0.134961626048229,fde,best_of
12,0.001696759056406957,fde,best_of
13,0.012317959604810401,fde,best_of
14,0.017069628750627654,fde,best_of
15,0.01020953298572108,fde,best_of
16,0.01070657598130217,fde,best_of
17,0.009084916075642446,fde,best_of
18,0.009729932344404122,fde,best_of
19,0.003060113816696226,fde,best_of
20,0.010410754539316005,fde,best_of
21,0.30717158470250183,fde,best_of
22,0.026381134570541552,fde,best_of
23,0.16261680101467613,fde,best_of
24,0.20823877699978666,fde,best_of
25,0.20371861524606405,fde,best_of
26,0.22260447654557713,fde,best_of
27,0.21418396410298152,fde,best_of
28,0.1548377121133077,fde,best_of
29,0.04112056354028342,fde,best_of
30,0.25814900189566903,fde,best_of
31,0.24508572459264397,fde,best_of
32,0.041902819979924066,fde,best_of
33,0.28722509455335987,fde,best_of
34,0.5520756532825385,fde,best_of
35,0.23322254640734727,fde,best_of
36,0.19935381696297025,fde,best_of
37,0.20072078179122405,fde,best_of
38,0.32194081646101763,fde,best_of
39,0.1628451986002942,fde,best_of
40,0.2774891535196533,fde,best_of
41,0.6353279178357365,fde,best_of
42,0.13001569907643923,fde,best_of
43,0.4320391707466717,fde,best_of
44,0.23862496821563822,fde,best_of
45,0.17313683004127298,fde,best_of
46,0.31670405181453376,fde,best_of
47,0.6542497260585852,fde,best_of
48,0.44419163334873546,fde,best_of
49,0.16248341143793538,fde,best_of
50,0.055795915088900895,fde,best_of
51,0.1265000871912478,fde,best_of
52,0.17017882011601168,fde,best_of
53,0.01701977647749242,fde,best_of
54,0.00481813604637613,fde,best_of
55,0.0021022624736386384,fde,best_of
56,0.00979335730110941,fde,best_of
57,0.00997724136983995,fde,best_of
58,0.013341097380916234,fde,best_of
59,0.06804926107726945,fde,best_of
60,0.09713944783488815,fde,best_of
61,0.19501682298522885,fde,best_of
62,0.2535042884617429,fde,best_of
63,0.08935328876790978,fde,best_of
64,0.05199369284523302,fde,best_of
65,0.005847835206524069,fde,best_of
66,0.005733938430814728,fde,best_of
67,0.11972396008480363,fde,best_of
68,0.005847835206524069,fde,best_of
69,0.005733938430814728,fde,best_of
70,0.11642061980086596,fde,best_of
71,0.005847835206524069,fde,best_of
72,0.005733938430814728,fde,best_of
73,0.08839475282565593,fde,best_of
74,0.005847835206524069,fde,best_of
75,0.010527724560143639,fde,best_of
76,0.22821339530788903,fde,best_of
77,0.011397512284223822,fde,best_of
78,0.011212509593782092,fde,best_of
79,0.12726581884909036,fde,best_of
80,0.10695734191870464,fde,best_of
81,0.15184816442334967,fde,best_of
82,0.09560306023795773,fde,best_of
83,0.03444423948754676,fde,best_of
84,0.013517941143438409,fde,best_of
85,0.01780330273407611,fde,best_of
86,0.010598674700279562,fde,best_of
87,0.02383480662701123,fde,best_of
88,0.10761295030888827,fde,best_of
89,0.04119101268095723,fde,best_of
90,0.06255566104205487,fde,best_of
91,0.10562390535914695,fde,best_of
92,0.18443060076322595,fde,best_of
93,0.18618884319446408,fde,best_of
94,0.19842189037924376,fde,best_of
95,0.279705182495076,fde,best_of
96,0.21639916545739352,fde,best_of
97,0.2783555914835694,fde,best_of
98,0.21396536026140095,fde,best_of
99,0.19220788560622074,fde,best_of
100,0.12421658366093073,fde,best_of
101,0.18809401114940916,fde,best_of
102,0.0943319188265415,fde,best_of
103,0.030316880971024994,fde,best_of
104,0.024827733745783797,fde,best_of
105,0.020957622706885868,fde,best_of
106,0.03578567071617429,fde,best_of
107,0.02801435268911191,fde,best_of
108,0.013016355436768509,fde,best_of
109,0.016876275900243085,fde,best_of
110,0.02169586800329542,fde,best_of
111,0.012332701824018527,fde,best_of
112,0.004614363004140761,fde,best_of
113,0.013174128635098408,fde,best_of
114,0.0034970969389235165,fde,best_of
115,0.01254620335066707,fde,best_of
116,0.01254620335066707,fde,best_of
117,0.01254620335066707,fde,best_of
118,0.01254620335066707,fde,best_of
119,0.01254620335066707,fde,best_of
120,0.01254620335066707,fde,best_of
121,0.01254620335066707,fde,best_of
122,0.01254620335066707,fde,best_of
123,0.01254620335066707,fde,best_of
124,0.01254620335066707,fde,best_of
125,0.01254620335066707,fde,best_of
126,0.01254620335066707,fde,best_of
127,0.01254620335066707,fde,best_of
128,0.01254620335066707,fde,best_of
129,0.01254620335066707,fde,best_of
130,0.01254620335066707,fde,best_of
131,0.01254620335066707,fde,best_of
132,0.01254620335066707,fde,best_of
133,0.01254620335066707,fde,best_of
134,0.01254620335066707,fde,best_of
135,0.01254620335066707,fde,best_of
136,0.01254620335066707,fde,best_of
137,0.01254620335066707,fde,best_of
138,0.01254620335066707,fde,best_of
139,0.01254620335066707,fde,best_of
140,0.49544498950784843,fde,best_of
141,0.30341317149849883,fde,best_of
142,0.30564322012229905,fde,best_of
143,0.2952809754217719,fde,best_of
144,1.0046812817592843,fde,best_of
145,0.5111087937843274,fde,best_of
146,0.36144490619982117,fde,best_of
147,0.5465365667825463,fde,best_of
148,0.31536649797125127,fde,best_of
149,0.31955424388058123,fde,best_of
150,0.03491916230984312,fde,best_of
151,0.00615928302918541,fde,best_of
152,0.2014439982535308,fde,best_of
153,0.4840651891140701,fde,best_of
154,0.012567449922017328,fde,best_of
155,0.010508455634882737,fde,best_of
156,0.21002279989359735,fde,best_of
157,0.13785241081341326,fde,best_of
158,0.01406443445687136,fde,best_of
159,0.012682150063944644,fde,best_of
160,0.3951173073666953,fde,best_of
161,0.23733949403050714,fde,best_of
162,0.018494612568282005,fde,best_of
163,0.009188514652186314,fde,best_of
164,0.22789520672679253,fde,best_of
165,0.2720161020767196,fde,best_of
166,0.01179074073660356,fde,best_of
167,0.008453892042609698,fde,best_of
168,0.11830739699215063,fde,best_of
169,0.35076780248114614,fde,best_of
170,0.014718618032404502,fde,best_of
171,0.006053243670911702,fde,best_of
172,0.5849078289554324,fde,best_of
173,0.056103379563517776,fde,best_of
174,0.0070836419113491115,fde,best_of
175,0.005995999527581743,fde,best_of
176,0.1838053566373959,fde,best_of
177,0.19269828755699128,fde,best_of
178,0.009441873526172165,fde,best_of
179,0.02192820351535459,fde,best_of
180,0.06964363751247993,fde,best_of
181,0.0032393798404828163,fde,best_of
182,0.34067709931532836,fde,best_of
183,0.4284954915978161,fde,best_of
184,0.06026607595477921,fde,best_of
185,0.0034658052511304166,fde,best_of
186,0.09754434918874058,fde,best_of
187,0.24696412506903284,fde,best_of
188,0.12004554118752249,fde,best_of
189,0.003485193285529717,fde,best_of
190,0.19673917900736335,fde,best_of
191,0.06799926250004039,fde,best_of
192,0.18541197500512885,fde,best_of
193,0.003790340442530198,fde,best_of
194,0.2433110580978388,fde,best_of
195,0.1518816376184012,fde,best_of
196,0.21592933218989618,fde,best_of
197,0.008666338443149289,fde,best_of
198,0.05309066261309844,fde,best_of
199,0.311660722129947,fde,best_of
200,0.2349610690909914,fde,best_of
201,0.004881947916468589,fde,best_of
202,0.19920475194702017,fde,best_of
203,0.4245979805627754,fde,best_of
204,0.1976423352585496,fde,best_of
205,0.005600090989633932,fde,best_of
206,0.3679847986384972,fde,best_of
207,0.14119294086315712,fde,best_of
208,0.12230936617410927,fde,best_of
209,0.005075844943235086,fde,best_of
210,0.2577009239406326,fde,best_of
211,0.14865338339353792,fde,best_of
212,0.06773683662056289,fde,best_of
213,0.005940773805385747,fde,best_of
214,0.48885663689934233,fde,best_of
215,0.44872898467265776,fde,best_of
216,0.089250800308392,fde,best_of
217,0.007045720570405511,fde,best_of
218,0.2946061721852348,fde,best_of
219,0.4026344152682024,fde,best_of
220,0.09659577271050367,fde,best_of
221,0.00797478717323395,fde,best_of
222,0.41066989984820557,fde,best_of
223,0.24038592093943645,fde,best_of
224,0.18091272834153765,fde,best_of
225,0.005646355966963313,fde,best_of
226,0.19948762065754563,fde,best_of
227,0.16254821282799584,fde,best_of
228,0.2551005423569665,fde,best_of
229,0.005744709103165021,fde,best_of
230,0.3537263895983704,fde,best_of
231,0.29711695900955354,fde,best_of
232,0.19231857376313805,fde,best_of
233,0.006004901856638705,fde,best_of
234,0.18018556559741353,fde,best_of
235,0.15719547733606884,fde,best_of
236,0.3227811736041897,fde,best_of
237,0.07770957520850941,fde,best_of
238,0.6360312554777021,fde,best_of
239,0.2702143252091455,fde,best_of
240,0.35230695778777377,fde,best_of
241,0.3013299291045445,fde,best_of
242,0.09564339849920278,fde,best_of
243,0.22520905651204778,fde,best_of
244,0.10412110725469835,fde,best_of
245,0.228803114646819,fde,best_of
246,0.04454176740836532,fde,best_of
247,0.09755609215253198,fde,best_of
248,0.2466427322965633,fde,best_of
249,0.24510635561267508,fde,best_of
250,0.004367596047549785,fde,best_of
251,0.2674800060188974,fde,best_of
252,0.2458185081546254,fde,best_of
253,0.1190434722418306,fde,best_of
254,0.0062624363543174,fde,best_of
255,0.04702347629931912,fde,best_of
256,0.22825090710713436,fde,best_of
257,0.09324820263635751,fde,best_of
258,0.005281463215335823,fde,best_of
259,0.10723475734227522,fde,best_of
260,0.4813770922761145,fde,best_of
261,0.12440873098996626,fde,best_of
262,0.012070904440313068,fde,best_of
263,0.21739249336850033,fde,best_of
264,0.07655642947013352,fde,best_of
265,0.053166195982284295,fde,best_of
266,0.012632076222974601,fde,best_of
267,0.28660484680397136,fde,best_of
268,0.16732936658162284,fde,best_of
269,0.05842356716834001,fde,best_of
270,0.012269694031509487,fde,best_of
271,0.3496451406312627,fde,best_of
272,0.4088235225706302,fde,best_of
273,0.13222343660259472,fde,best_of
274,0.014261599379090805,fde,best_of
275,0.3674143037968562,fde,best_of
276,0.2634784024797058,fde,best_of
277,0.06003435064086458,fde,best_of
278,0.08098597760395418,fde,best_of
279,0.5674893458394678,fde,best_of
280,0.5907115700990015,fde,best_of
281,0.0673576259957529,fde,best_of
282,0.10827728853997758,fde,best_of
283,0.2792437144611988,fde,best_of
284,0.20943099095170226,fde,best_of
285,0.07604004871000829,fde,best_of
286,0.10133926030052968,fde,best_of
287,0.24096229229827026,fde,best_of
288,0.32641583721800727,fde,best_of
289,0.307349918804058,fde,best_of
290,0.05069415790698003,fde,best_of
291,0.03791852932641499,fde,best_of
292,0.2205450614963805,fde,best_of
293,0.17893703522787402,fde,best_of
294,0.47188175342047006,fde,best_of
295,0.10969650859826477,fde,best_of
296,0.03666622649337858,fde,best_of
297,0.512073897944274,fde,best_of
298,0.2799227773115839,fde,best_of
299,0.1727149058433024,fde,best_of
300,0.0652271187402319,fde,best_of
301,0.08101559737332822,fde,best_of
302,0.4901967404025257,fde,best_of
303,0.5555075122138111,fde,best_of
304,0.07269582949161556,fde,best_of
305,0.026328866429664484,fde,best_of
306,0.3196442691352858,fde,best_of
307,0.5629557059695574,fde,best_of
308,0.04918198027810664,fde,best_of
309,0.013271350186192712,fde,best_of
310,0.49836659217287727,fde,best_of
311,0.305361471288655,fde,best_of
312,0.10772288093024679,fde,best_of
313,0.006477146106217239,fde,best_of
314,0.3016073874466472,fde,best_of
315,0.535184557008904,fde,best_of
316,0.13004801908682115,fde,best_of
317,0.00999672835719154,fde,best_of
318,0.19041869486596055,fde,best_of
319,0.39815359397353445,fde,best_of
320,0.08357707972811994,fde,best_of
321,0.04948879168571908,fde,best_of
322,0.13154625101242692,fde,best_of
323,0.18736134218521375,fde,best_of
324,0.14091699863621146,fde,best_of
325,0.028427344873446923,fde,best_of
326,0.2160887001963956,fde,best_of
327,0.28241312275279895,fde,best_of
328,0.05536815893466275,fde,best_of
329,0.053550457387334424,fde,best_of
330,0.17608437906683452,fde,best_of
331,0.11818050312728794,fde,best_of
332,0.07203497200007171,fde,best_of
333,0.1266116609138899,fde,best_of
334,0.09724920284869873,fde,best_of
335,0.25809317194410764,fde,best_of
336,0.08852368408160134,fde,best_of
337,0.19451990009554754,fde,best_of
338,0.3068926350420628,fde,best_of
339,0.4818417287862834,fde,best_of
340,0.06106143801970541,fde,best_of
341,0.17288421000261445,fde,best_of
342,0.2882002402602518,fde,best_of
343,0.3499190241034214,fde,best_of
344,0.13666064361649588,fde,best_of
345,0.4028713740721223,fde,best_of
346,0.1229649732936432,fde,best_of
347,0.12286772628523954,fde,best_of
348,0.3732591609479873,fde,best_of
349,0.2640774049980986,fde,best_of
350,0.34255277412037444,fde,best_of
351,0.2552586530782863,fde,best_of
352,0.06100581174703348,fde,best_of
353,0.11102668943983264,fde,best_of
354,0.1298580427926941,fde,best_of
355,0.02840074315796011,fde,best_of
356,0.1383938699821871,fde,best_of
357,0.031024346651668103,fde,best_of
358,0.11455988627991338,fde,best_of
359,0.04494639822110044,fde,best_of
360,0.06861419960829322,fde,best_of
361,0.0075874097353440546,fde,best_of
362,0.013040787845321162,fde,best_of
363,0.01407801516764257,fde,best_of
364,0.03998711410072128,fde,best_of
365,0.014908054342149053,fde,best_of
366,0.08290847938028703,fde,best_of
367,0.01828400478604665,fde,best_of
368,0.1325407018944792,fde,best_of
369,0.11597571554835022,fde,best_of
370,0.19220895134999577,fde,best_of
371,0.08332379272481077,fde,best_of
372,0.013731923853735915,fde,best_of
373,0.1693906525631951,fde,best_of
374,0.10962482631527723,fde,best_of
375,0.4710043144057773,fde,best_of
376,0.06092502397101143,fde,best_of
377,0.024121236943737873,fde,best_of
378,0.0909252238470986,fde,best_of
379,0.3349056501234148,fde,best_of
380,0.4452935312627295,fde,best_of
381,0.05268115296866679,fde,best_of
382,0.015494805184514062,fde,best_of
383,0.04990555288693572,fde,best_of
384,0.22560212582719202,fde,best_of
385,0.23205026928078537,fde,best_of
386,0.01292274593336166,fde,best_of
387,0.0075057216670910785,fde,best_of
388,0.06917985076757287,fde,best_of
389,0.2209269744784651,fde,best_of
390,0.3730662908198319,fde,best_of
391,0.06817173415043182,fde,best_of
392,0.017206111485009546,fde,best_of
393,0.06733987441763889,fde,best_of
394,0.17581526083402693,fde,best_of
395,0.2020948700011627,fde,best_of
396,0.036210459967885994,fde,best_of
397,0.01920512987611169,fde,best_of
398,0.07872611482972143,fde,best_of
399,0.1725854821466153,fde,best_of
400,0.641791070387386,fde,best_of
401,0.03145646869663861,fde,best_of
402,0.023526041912272092,fde,best_of
403,0.2571105337892831,fde,best_of
404,0.006187887780091941,fde,best_of
405,0.024515719082859475,fde,best_of
406,0.11208243190434117,fde,best_of
407,0.05712641027782242,fde,best_of
408,1.6083290511133959,fde,best_of
409,0.015332645049920247,fde,best_of
410,0.025168189110516437,fde,best_of
411,0.017512843801997233,fde,best_of
412,1.3805634966249212,fde,best_of
413,0.0124526009472686,fde,best_of
414,0.024308287344654924,fde,best_of
415,0.03859221703707312,fde,best_of
416,0.5082157920982051,fde,best_of
417,0.0076183436044347345,fde,best_of
418,0.03275147208251124,fde,best_of
419,0.01757621946861966,fde,best_of
420,0.3205143736135491,fde,best_of
421,0.008263002442195857,fde,best_of
422,0.2477339731788104,fde,best_of
423,0.06404482213976757,fde,best_of
424,0.008445767094610137,fde,best_of
425,0.055996898608184235,fde,best_of
426,0.03661547290894511,fde,best_of
427,0.008441446130875808,fde,best_of
428,0.21125389672300687,fde,best_of
429,0.11572570291127195,fde,best_of
430,0.1404085774736671,fde,best_of
431,0.007889845944697545,fde,best_of
432,0.05067664004765418,fde,best_of
433,0.038516408819757916,fde,best_of
434,0.29478030723871135,fde,best_of
435,0.007854516132422048,fde,best_of
436,0.2558976818736547,fde,best_of
437,0.01652360165881391,fde,best_of
438,0.19608803666391109,fde,best_of
439,0.0076713174959124955,fde,best_of
440,0.11229765381670076,fde,best_of
441,0.059302699375107674,fde,best_of
442,0.2812136137650281,fde,best_of
443,0.007535082843947858,fde,best_of
444,0.04064882752799465,fde,best_of
445,0.0021938748116689354,fde,best_of
446,0.26806259955671247,fde,best_of
447,0.016654671825326022,fde,best_of
448,0.11826742880051262,fde,best_of
449,0.2057237263008929,fde,best_of
450,0.016756843500027967,fde,best_of
451,0.10679338683703991,fde,best_of
452,0.2319742739648765,fde,best_of
453,0.016269341793246732,fde,best_of
454,0.11311399880797943,fde,best_of
455,0.09941553737360878,fde,best_of
456,0.015397937844788795,fde,best_of
457,0.14314286225457543,fde,best_of
458,0.43124647303541097,fde,best_of
459,0.014499077695271718,fde,best_of
460,0.01878559335564294,fde,best_of
461,0.007906955381015095,fde,best_of
462,0.15341780618988893,fde,best_of
463,0.007870198758186564,fde,best_of
464,0.19769255612983413,fde,best_of
465,0.007801233182361055,fde,best_of
466,0.03355431348005637,fde,best_of
467,0.007947072797807401,fde,best_of
468,0.02831222538769112,fde,best_of
469,0.008214917253338656,fde,best_of
470,0.04942585538172728,fde,best_of
471,0.017042033943747117,fde,best_of
472,0.05479715717918814,fde,best_of
473,0.39258420162223817,fde,best_of
474,0.25576299041099215,fde,best_of
475,0.2605383339316965,fde,best_of
476,0.0653705841724154,fde,best_of
477,0.19142579447802233,fde,best_of
478,0.38360717936502414,fde,best_of
479,0.009412576708424759,fde,best_of
480,0.011048227850020846,fde,best_of
481,0.009452846924683601,fde,best_of
482,0.004587987208716997,fde,best_of
483,0.24944520283973845,fde,best_of
484,0.42387226394106015,fde,best_of
485,0.01160124195390783,fde,best_of
486,0.6694871383683239,fde,best_of
487,0.18485365312669927,fde,best_of
488,0.09244389799485184,fde,best_of
489,0.011986397288409894,fde,best_of
490,0.287442607113024,fde,best_of
491,0.215189249156312,fde,best_of
492,0.09660272474051239,fde,best_of
493,0.3113944669131904,fde,best_of
494,0.013106143036828714,fde,best_of
495,0.07370200680869368,fde,best_of
496,0.008277799256527309,fde,best_of
497,0.09732469363530387,fde,best_of
498,0.07608130351545671,fde,best_of
499,0.0978361870307799,fde,best_of
500,0.0188185162920302,fde,best_of
501,0.13548816491771606,fde,best_of
502,0.09323722036778116,fde,best_of
503,0.04042735772894278,fde,best_of
504,0.1913777023559913,fde,best_of
505,0.0394292429165624,fde,best_of
506,0.06270582256535676,fde,best_of
507,0.034893544866871164,fde,best_of
508,0.008818873099116574,fde,best_of
509,0.009287823692494675,fde,best_of
510,0.09167175820704256,fde,best_of
511,0.5603680737234551,fde,best_of
512,0.5394857907406502,fde,best_of
513,0.3814202539163356,fde,best_of
514,0.017590527130872426,fde,best_of
515,0.18248334098776856,fde,best_of
516,0.12042456372318495,fde,best_of
517,0.18157199056628984,fde,best_of
518,0.3674590660893865,fde,best_of
519,0.025561303227484428,fde,best_of
520,0.07272870111998299,fde,best_of
521,0.1562017685157728,fde,best_of
522,0.1991425109996566,fde,best_of
523,0.07914058202504774,fde,best_of
524,0.017548069526495527,fde,best_of
525,0.10445516996777246,fde,best_of
526,0.1209257621435024,fde,best_of
527,0.03809789331514765,fde,best_of
528,0.06779768714669397,fde,best_of
