;epoch;loss
0;1;1.879645645724686
1;2;1.734432884716095
2;3;1.7101506528157389
3;4;1.7002077801767306
4;5;1.6888911309726735
5;6;1.6800120988206642
6;7;1.6782229110306384
7;8;1.6745001028778295
8;9;1.6716606712596302
9;10;1.668990607992638
10;11;1.6674468950791792
11;12;1.668217563161663
12;13;1.6647931828218347
13;14;1.6620091112752224
14;15;1.6598797911203693
15;16;1.6594605666855864
16;17;1.6609261599029024
17;18;1.6561183068841536
18;19;1.6576982796085922
19;20;1.6557165224921895
20;21;1.6527942733543655
21;22;1.6539995574696178
22;23;1.6556841256146761
23;24;1.6537932467758125
24;25;1.6519778544040076
25;26;1.6519737842886206
26;27;1.6518065623421083
27;28;1.6471846549906195
28;29;1.651945518512352
29;30;1.6528715891846573
30;31;1.648319412467739
31;32;1.6509074444439322
32;33;1.6508538714492171
33;34;1.64823108475901
34;35;1.6459266028089745
35;36;1.6463539455876206
36;37;1.6458180713568566
37;38;1.6464111634966736
38;39;1.6432726155840351
39;40;1.64475319814767
40;41;1.646025784512892
41;42;1.6472794722745763
42;43;1.6452959040694484
43;44;1.6441433410593533
44;45;1.6442437936915433
45;46;1.646032788111777
46;47;1.6429234658120575
47;48;1.6426972526917483
48;49;1.6440690111986456
49;50;1.6435717435656596
