;epoch;loss
0;1;9.60395887220228
1;2;5.579821635581351
2;3;5.166473821691564
3;4;5.032158800073572
4;5;4.924263794357713
5;6;4.857001930958516
6;7;4.8023505442851295
7;8;4.75213636965365
8;9;4.693518290648589
9;10;4.657308117119041
10;11;4.612545028892723
11;12;4.570321835698308
12;13;4.540891299376616
13;14;4.513702335873166
14;15;4.477592318766826
15;16;4.466222804301494
16;17;4.435536369117531
17;18;4.4347247587667935
18;19;4.407148459150984
19;20;4.382761058291873
20;21;4.359371327065133
21;22;4.338139276246767
22;23;4.329355051710799
23;24;4.296101564974398
24;25;4.269095879632073
25;26;4.2523927173099
26;27;4.241174883455844
27;28;4.221105820423848
28;29;4.231369871706576
29;30;4.220251140078982
30;31;4.209141970969536
31;32;4.209473354751999
32;33;4.198655321791366
33;34;4.189867279980634
34;35;4.1948377763902815
35;36;4.187817462714943
36;37;4.19115510631252
37;38;4.177540041949298
38;39;4.1856845881487885
39;40;4.171526965579472
40;41;4.175975871730495
41;42;4.169165518477157
42;43;4.1734316465016965
43;44;4.158881177128972
44;45;4.165209370690423
45;46;4.1644418639105725
46;47;4.153081254701356
47;48;4.158373505360371
48;49;4.156488596426474
49;50;4.144529721543595
50;51;4.155636215209961
51;52;4.144303208428461
52;53;4.1431031562186575
53;54;4.145458012658197
54;55;4.131933681384937
55;56;4.1348875277751205
56;57;4.137452535371522
57;58;4.13430018038363
58;59;4.13510523100157
59;60;3.5828395224906306
60;61;3.509426276748245
61;62;3.4957869027111976
62;63;3.4936548993394183
63;64;3.4814835406638474
64;65;3.4776767356975657
65;66;3.4750632079871924
66;67;3.4698337361619283
67;68;3.4694418572090764
68;69;3.4667797952084936
69;70;3.461384154654838
70;71;3.4611311513024403
71;72;3.4616618916795057
72;73;3.452826503805212
73;74;3.4570808281769625
74;75;3.455157680769224
75;76;3.448421666428849
76;77;3.4454574430311045
77;78;3.4481031804471405
78;79;3.4405136404810728
79;80;2.7711914023837525
80;81;2.733301517125723
81;82;2.7212183101757157
82;83;2.719618883648434
83;84;2.7138190772082353
84;85;2.713694108499063
85;86;2.7088671465177794
86;87;2.7044585730578445
87;88;2.700635189623446
88;89;2.6929500064334353
89;90;2.691245304571616
90;91;2.6965018671912118
91;92;2.6946619330225765
92;93;2.6942810922055633
93;94;2.6893479450328934
94;95;2.689285929138596
95;96;2.6843035066449965
96;97;2.6870325243150868
97;98;2.681480941256961
98;99;2.684541586283091
99;100;1.9916730668093707
100;101;1.94788067969116
101;102;1.9376202998934566
102;103;1.937672602969247
103;104;1.9340519123786204
104;105;1.9305750461849007
105;106;1.9295477593267285
106;107;1.9276130328307282
107;108;1.9264731068868894
108;109;1.9224324846589886
109;110;1.926362758552706
110;111;1.9254546511817623
111;112;1.9259093693784766
112;113;1.9210518115275614
113;114;1.9207426019617029
114;115;1.9203629533986788
115;116;1.914577669388539
116;117;1.9182999109899677
117;118;1.920172753366264
118;119;1.918544343194446
119;120;1.5522087280814711
120;121;1.5286038421295784
121;122;1.5196387042870392
122;123;1.5170768966545929
123;124;1.5184509802508999
124;125;1.5137196585938737
125;126;1.5158296807392224
126;127;1.510885079970231
127;128;1.5109308998326998
128;129;1.509563026396004
129;130;1.5077606616793453
130;131;1.5062929601282686
131;132;1.5098138959021181
132;133;1.506466157533027
133;134;1.5035528540611267
134;135;1.5042029941404187
135;136;1.502721434509432
136;137;1.5017803327457324
137;138;1.5042413191215411
138;139;1.4988470238608282
139;140;1.5020994648740098
140;141;1.4962404982463733
141;142;1.5022676361573708
142;143;1.497978159704724
143;144;1.4939607003250637
144;145;1.49899144994246
145;146;1.4956852624545227
146;147;1.493937373966784
147;148;1.49545403348433
148;149;1.4935590544262447
149;150;1.4962731309839197
